Age,EdLevel,Employment,YearsCode,WorkExp,Country,JobSat,Salary,lgr_pred,svr_pred,rfr_pred,lgr_pred_raw,svr_pred_raw,rfr_pred_raw,xgb_pred,xgb_pred_raw
32,Master’s degree,Employed,14,8,Ukraine,10,61256,10.971496333241738,11.222061155185605,11.278269339752676,58190.60232,74760.71154633173,79083.27537554676,11.047143936157227,62763.43912849817
32,Associate degree,Employed,10,2,Netherlands,9,104413,11.031676386257688,10.85541623582134,10.81613102858878,61800.09651550339,51813.02973191411,49816.96936685616,10.89624023,53972.055801108974
42,Bachelor’s degree,"Independent contractor, freelancer, or self-employed",12,10,Ukraine,8,53061,10.849493513284537,11.264617766746579,11.32651373797525,51507.05660170167,78010.98648474277,82992.18192936269,11.10918903,66781.01144460378
42,Bachelor’s degree,Employed,5,4,Ukraine,6,36197,10.613647477078246,10.980463029104431,10.47180275,40685.33139558769,58714.73507560904,35304.80746208455,10.060213088989258,23392.490736377855
42,Master’s degree,"Independent contractor, freelancer, or self-employed",22,21,Ukraine,7,60000,11.080944728718897,11.48996157231172,11.375692238191919,64921.188301187234,97728.77707605621,87175.68830389355,11.384054183959961,87907.71134684164
47,Master’s degree,"Independent contractor, freelancer, or self-employed",20,15,Ukraine,7,120000,10.928112763038795,11.339294510842734,11.35565184556016,55720.02164364833,84059.7063,85446.02271892237,11.517904281616211,100498.1232
42,Professional degree,Employed,30,22,Ukraine,6,72000,11.088157115333255,11.495600204607033,11.34899185751028,65391.124868052415,98281.3959,84878.83738895433,10.326583862304688,30532.62646422331
32,Bachelor’s degree,Employed,15,9,Ukraine,8,70000,10.874405312160642,11.236350369778473,11.336294479876683,52806.33139116249,75836.66665520669,83807.89948,11.14217758178711,69020.79351732793
32,Master’s degree,Employed,9,7,Ukraine,10,65691,10.914293187553882,11.16080001309803,11.093022565300936,54955.27717183692,70318.18997022991,65710.06223761261,10.962897300720215,57692.35612506052
32,College/University course,Employed,11,7,United States of America,9,87500,11.838216138529614,11.575216101996036,12.040441149107277,138442.3005569731,106426.16165202163,169470.6862552018,11.756312370300293,127555.20504138056
59,Bachelor’s degree,"Independent contractor, freelancer, or self-employed",41,37,United Kingdom of Great Britain and Northern Ireland,8,108913,11.787113002982931,11.571210342049227,11.645947506703166,131545.14781388442,106000.69272274789,114226.51757777818,11.69188404083252,119596.12010660217
47,Master’s degree,"Independent contractor, freelancer, or self-employed",30,26,Ireland,8,162421,11.881328959201184,11.563261627859914,11.362120094764458,144541.51420326965,105161.45541119832,86000.50669267621,11.869135856628418,142789.7936581658
47,Bachelor’s degree,Employed,36,24,Sweden,9,209643,11.348771837078658,11.522903164801974,11.362120094764458,84860.16414,101001.76430466428,86000.50669267621,11.231176376342773,75445.29641237577
42,Master’s degree,Employed,15,19,United States of America,8,205000,12.083993924440911,11.997796743547088,12.130811948015278,177014.7382802928,162395.59561807287,185499.33148613453,12.194554328918457,197708.55304730096
42,Bachelor’s degree,Employed,23,17,United States of America,8,250000,11.98672992922952,11.97940347643409,12.089134319692958,160608.29077552358,159435.8944,177927.01185546367,12.140132904052734,187236.45517080923
47,Bachelor’s degree,Employed,26,24,United States of America,8,175000,12.073589921002418,11.991540261782964,12.090035812176636,175182.6131747467,161382.73605164498,178087.4849425601,12.099699974060059,179816.90412403346
32,Bachelor’s degree,Employed,10,10,Germany,6,95132,11.344443526572768,11.34598643850791,11.33943333390932,84493.65243694074,84624.12086940976,84071.37667399652,11.388835906982422,88329.07307042596
42,Master’s degree,Employed,25,15,United States of America,10,109000,12.036815367914807,11.958121799793343,12.221050144870192,168857.33161931767,156078.66044775967,203017.04483175458,12.110992431640625,181858.99861072077
47,Master’s degree,Employed,25,25,United Kingdom of Great Britain and Northern Ireland,6,91215,11.665756568904282,11.578426808576646,11.604282203228063,116511.81767582704,106768.41718732756,109564.97993167132,11.669946670532227,117001.0424578503
47,Bachelor’s degree,Employed,8,7,United States of America,2,150000,11.623689653632754,11.546059802068775,11.867061324717392,111712.14435320257,103367.93927483287,142493.8766508863,11.750168800354004,126773.95685730649
